,OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityStartDate,MonitoringLocationIdentifier,ProjectIdentifier,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodName,CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ResultStatusIdentifier,ResultValueTypeName,PrecisionValue,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,ProviderName,LeadValue,LeadValue_ug_l,MonitoringLocationName,MonitoringLocationTypeName,LatitudeMeasure,LongitudeMeasure,StateCode,CountyCode,Month,geometry
733,21COL001_WQX,Colorado Dept. of Public Health & Environment-WQCD,21COL001_WQX-20181003004-20180129_S-ROUTINE,Sample-Routine,Water,2018-01-29,21COL001_WQX-5170,SWMN,STREAM_1_WQX,WQCD Stream Sampling Procedure,Lead,0.18,ug/l,Final,Actual,,200.8(W),USEPA,200.8 W  ~ Metals in Waters by ICP/MS,Lower Reporting Limit,0.21,ug/l,STORET,0.18,0.18,SOUTH PLATTE RIVER U/S BURLINGTON DITCH HEADGATE,River/Stream,39.789637,-104.97107199999999,8.0,31.0,1,POINT (-104.971072 39.789637)
734,USGS-CA,USGS California Water Science Center,nwisca.01.01801534,Sample-Routine,Water,2018-01-29,USGS-345245116435801,,4040,Submersible pump,Lead,0.060,ug/l,Preliminary,Actual,,PLM43,USGS,"Metals, wf, ICP-MS",,,,NWIS,0.06,0.06,009N002E13D001S,Well,34.8792222,-116.73280279999999,6.0,71.0,1,POINT (-116.7328028 34.8792222)
735,USGS-GA,USGS Georgia Water Science Center,nwisga.01.01800606,Sample-Routine,Water,2018-01-29,USGS-02204037,,10,Equal width increment (ewi),Lead,1.9,ug/l,Preliminary,Actual,,PLM28,USGS,"Elements, wu, ICP-MS  (DODEC_01)",Laboratory Reporting Level,1.0,ug/l,NWIS,1.9,1.9,"POLE BRIDGE CR AT EVANS MILL RD NEAR LITHONIA, GA",Stream,33.6684422,-84.1510287,13.0,89.0,1,POINT (-84.1510287 33.6684422)
736,USGS-CO,USGS Colorado Water Science Center,nwisco.01.01800740,Sample-Routine,Water,2018-01-29,USGS-400853105563701,,50,Point sample,Lead,0.048,ug/l,Preliminary,Actual,,PLM67,USGS,"Metals, wf,ICP-MS(200.8; CO WSC)",Laboratory Reporting Level,0.03,ug/l,NWIS,0.048,0.048,"WILLOW CREEK RESERVOIR NEAR DAM NEAR GRANBY, CO","Lake, Reservoir, Impoundment",40.148055600000006,-105.9436111,8.0,49.0,1,POINT (-105.9436111 40.14805560000001)
737,USGS-TX,USGS Texas Water Science Center,nwistx.01.01800933,Sample-Routine,Water,2018-01-29,USGS-08164504,,30,Single vertical,Lead,0.088,ug/l,Accepted,Actual,,PLM43,USGS,"Metals, wf, ICP-MS",,,,NWIS,0.088,0.088,"E Mustang Ck nr Louise, TX",Stream,29.070812300000004,-96.4171913,48.0,481.0,1,POINT (-96.4171913 29.0708123)
738,21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-2199633,Sample-Routine,Water,2018-01-29,21PA_WQX-WQN0202,WQN,001,Water Grab Sample,Lead,1.570,ug/l,Final,Actual,,01051H,21PA_WQX,Lead,,,,STORET,1.57,1.57,Susquehanna River at Harrisburg,River/Stream,40.2564,-76.8844,42.0,43.0,1,POINT (-76.8844 40.2564)
739,USGS-CO,USGS Colorado Water Science Center,nwisco.01.01800662,Sample-Routine,Water,2018-01-29,USGS-09014500,,50,Point sample,Lead,0.008,ug/l,Preliminary,Estimated,,PLM67,USGS,"Metals, wf,ICP-MS(200.8; CO WSC)",Laboratory Reporting Level,0.03,ug/l,NWIS,0.008,0.008,"SHADOW MOUNTAIN LAKE NEAR GRAND LAKE, CO.","Lake, Reservoir, Impoundment",40.2100833,-105.84208329999998,8.0,49.0,1,POINT (-105.8420833 40.2100833)
740,21COL001_WQX,Colorado Dept. of Public Health & Environment-WQCD,21COL001_WQX-20181001004-20180129_S-ROUTINE,Sample-Routine,Water,2018-01-29,21COL001_WQX-5163,SWMN,STREAM_1_WQX,WQCD Stream Sampling Procedure,Lead,0.44,ug/l,Final,Actual,,200.8(W),USEPA,200.8 W  ~ Metals in Waters by ICP/MS,Lower Reporting Limit,0.21,ug/l,STORET,0.44,0.44,SOUTH PLATTE RIVERAT STEELE STREET PARK (78TH AVE),River/Stream,39.838570000000004,-104.94894,8.0,1.0,1,POINT (-104.94894 39.83857)
742,USGS-TX,USGS Texas Water Science Center,nwistx.01.01800934,Sample-Routine,Water,2018-01-29,USGS-08164450,,30,Single vertical,Lead,0.034,ug/l,Accepted,Actual,,PLM43,USGS,"Metals, wf, ICP-MS",,,,NWIS,0.034,0.034,"Sandy Ck nr Ganado, TX",Stream,29.1602539,-96.5463608,48.0,239.0,1,POINT (-96.5463608 29.1602539)
745,USGS-PA,USGS Pennsylvania Water Science Center,nwispa.01.01801158,Sample-Routine,Water,2018-01-29,USGS-01573710,,40,Multiple verticals,Lead,0.48,ug/l,Accepted,Actual,,PLM82,USGS,"Trace elements, wu, ICP-MS (PA)",,,,NWIS,0.48,0.48,"Conewago Creek near Falmouth, PA",Stream,40.149305600000005,-76.68775,42.0,43.0,1,POINT (-76.68774999999999 40.14930560000001)
746,USGS-TX,USGS Texas Water Science Center,nwistx.01.01800930,Sample-Routine,Water,2018-01-29,USGS-08069500,,60,Weighted bottle,Lead,2.01,ug/l,Accepted,Actual,,PLM78,USGS,"Metals, wu, 2% corr, ICP-MS",,,,NWIS,2.01,2.01,"W Fk San Jacinto Rv nr Humble, TX",Stream,30.027163899999998,-95.25798879999999,48.0,201.0,1,POINT (-95.25798879999999 30.0271639)
747,21SC60WQ_WQX,South Carolina Department of Health and Environmental Control,21SC60WQ_WQX-AE06744,Sample-Routine,Water,2018-01-29,21SC60WQ_WQX-RS-16312,SWS-2018,Sample-Routine,Sample-Routine,Lead,0.0022,mg/l,Final,Actual,,200.7,USEPA,Metals in Water by ICP-AES,Lower Reporting Limit,0.002,mg/l,STORET,0.0022,2.2,CATTAIL BRANCH AT S-13-54 EVANS MILL ROAD,River/Stream,34.74785,-80.373413,45.0,25.0,1,POINT (-80.373413 34.74785)
748,USGS-PA,USGS Pennsylvania Water Science Center,nwispa.01.01801157,Sample-Routine,Water,2018-01-29,USGS-01573695,,10,Equal width increment (ewi),Lead,0.40,ug/l,Accepted,Actual,,PLM82,USGS,"Trace elements, wu, ICP-MS (PA)",,,,NWIS,0.4,0.4,"Conewago Creek near Bellaire, PA",Stream,40.1952778,-76.56777779999999,42.0,43.0,1,POINT (-76.56777779999999 40.1952778)
749,USGS-TX,USGS Texas Water Science Center,nwistx.01.01800956,Sample-Routine,Water,2018-01-29,USGS-08070200,,40,Multiple verticals,Lead,1.42,ug/l,Accepted,Actual,,PLM78,USGS,"Metals, wu, 2% corr, ICP-MS",,,,NWIS,1.42,1.42,"E Fk San Jacinto Rv nr New Caney, TX",Stream,30.145230600000005,-95.12461390000001,48.0,339.0,1,POINT (-95.12461390000001 30.1452306)
750,USGS-PA,USGS Pennsylvania Water Science Center,nwispa.01.01801345,Sample-Routine,Water,2018-01-29,USGS-01570500,National Water Quality Assessment Program (NAWQA),USGS,USGS,Lead,1.57,ug/l,Accepted,Actual,,PLM82,USGS,"Trace elements, wu, ICP-MS (PA)",,,,NWIS,1.57,1.57,"Susquehanna River at Harrisburg, PA",Stream,40.254811600000004,-76.88608459999999,42.0,43.0,1,POINT (-76.88608459999999 40.2548116)
751,21SC60WQ_WQX,South Carolina Department of Health and Environmental Control,21SC60WQ_WQX-AE06697,Sample-Routine,Water,2018-01-29,21SC60WQ_WQX-CW-252,SWS-2018,Sample-Routine,Sample-Routine,Lead,0.0062,mg/l,Final,Actual,,200.7,USEPA,Metals in Water by ICP-AES,Lower Reporting Limit,0.002,mg/l,STORET,0.0062,6.2,BIG WATEREE CREEK AT S-20-20 CAMP WELFARE ROAD,River/Stream,34.481783,-80.97868100000001,45.0,39.0,1,POINT (-80.97868100000001 34.481783)
752,USGS-TX,USGS Texas Water Science Center,nwistx.01.01800966,Sample-Routine,Water,2018-01-29,USGS-08067000,,40,Multiple verticals,Lead,0.80,ug/l,Accepted,Actual,,PLM78,USGS,"Metals, wu, 2% corr, ICP-MS",,,,NWIS,0.8,0.8,"Trinity Rv at Liberty, TX",Stream,30.0577154,-94.8182567,48.0,291.0,1,POINT (-94.81825670000001 30.0577154)
755,21DELAWQ_WQX,Delaware Department Of Natural Resources And Environmental Control,21DELAWQ_WQX-1801018-004-SPM-006-Water,Sample-Routine,Water,2018-01-29,21DELAWQ_WQX-308071,DE-ASWQMP,Stainless Bucket,Grab Sample Collected With A Stainless Bucket,Lead,0.067,ug/l,Final,Estimated,,200.8,USEPA,Metals in Waters by ICP/MS,,,,STORET,0.067,0.067,Millsboro Pond @ John Williams Hwy. (Rt. 24),Riverine Impoundment,38.594322,-75.290992,10.0,5.0,1,POINT (-75.290992 38.594322)
761,USGS-MO,USGS Missouri Water Science Center,nwismo.01.01800381,Sample-Routine,Water,2018-01-29,USGS-07185764,,10,Equal width increment (ewi),Lead,0.26,ug/l,Preliminary,Actual,,PLM78,USGS,"Metals, wu, 2% corr, ICP-MS",,,,NWIS,0.26,0.26,"SPRING RIVER ABOVE CARTHAGE, MO",Stream,37.1836111,-94.2997222,29.0,97.0,1,POINT (-94.29972220000001 37.1836111)
762,USGS-PA,USGS Pennsylvania Water Science Center,nwispa.01.01800229,Sample-Routine,Water,2018-01-29,USGS-01549700,,10,Equal width increment (ewi),Lead,0.10,ug/l,Accepted,Actual,,PLM82,USGS,"Trace elements, wu, ICP-MS (PA)",,,,NWIS,0.1,0.1,"Pine Creek bl L Pine Creek near Waterville, PA",Stream,41.273683,-77.3241403,42.0,81.0,1,POINT (-77.3241403 41.273683)
763,USGS-MO,USGS Missouri Water Science Center,nwismo.01.01800380,Sample-Routine,Water,2018-01-29,USGS-07187000,,10,Equal width increment (ewi),Lead,0.065,ug/l,Preliminary,Actual,,PLM43,USGS,"Metals, wf, ICP-MS",,,,NWIS,0.065,0.065,"Shoal Creek above Joplin, MO",Stream,37.023166700000004,-94.5165556,29.0,145.0,1,POINT (-94.5165556 37.0231667)
764,21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-2199632,Sample-Routine,Water,2018-01-29,21PA_WQX-WQN0259,WQN,001,Water Grab Sample,Lead,0.274,ug/l,Final,Actual,,01051H,21PA_WQX,Lead,,,,STORET,0.274,0.274,Muddy Creek,River/Stream,39.7728,-76.3161,42.0,133.0,1,POINT (-76.31610000000001 39.7728)
765,MNPCA,Minnesota Pollution Control Agency - Ambient Surface Water,MNPCA-SS00040.1801301005.000S,Sample-Routine,Water,2018-01-30,MNPCA-SS00040,PRJ00410,G,"Grab sample.  Submerge and fill a water sampling vessel, or sample directly into the sample bottle provided by the an...",Lead,0.00053,mg/l,Final,Estimated,,200.8,USEPA,Metals in Waters by ICP/MS,,,,STORET,0.00053,0.53,"STORM SEWER AT MANHOLE GRATE AT 2337 COOLIDGE ST NE IN MINNEAPOLIS, MN T29N/R23W/S7",Storm Sewer,45.012778000000004,-93.22027800000001,27.0,53.0,1,POINT (-93.22027800000001 45.012778)
766,21COL001_WQX,Colorado Dept. of Public Health & Environment-WQCD,21COL001_WQX-20182018004-20180130_S-ROUTINE,Sample-Routine,Water,2018-01-30,21COL001_WQX-5561A45,SWMN,STREAM_1_WQX,WQCD Stream Sampling Procedure,Lead,0.12,ug/l,Final,Actual,,200.8(W),USEPA,200.8 W  ~ Metals in Waters by ICP/MS,Lower Reporting Limit,0.05,ug/l,STORET,0.12,0.12,JAMES CR. D/S LITTLE JAMES CR.,River/Stream,40.1155,-105.3885,8.0,13.0,1,POINT (-105.3885 40.1155)
767,TDECWR_WQX,TDEC Division of Water Resources,TDECWR_WQX-N1801118-08-04,Sample-Routine,Water,2018-01-30,TDECWR_WQX-TNW000003812,TNPR0080,TDECWRGRAB,WATER SAMPLE,Lead,1.55,ug/l,Final,Actual,,200.8,USEPA,Metals in Waters by ICP/MS,Lower Quantitation Limit,1,ug/l,STORET,1.55,1.55,LOOSAHATCHIE RIVER,River/Stream,35.2752,-89.8873,47.0,157.0,1,POINT (-89.8873 35.2752)
768,MNPCA,Minnesota Pollution Control Agency - Ambient Surface Water,MNPCA-SS00041.1801301215.000S,Sample-Routine,Water,2018-01-30,MNPCA-SS00041,PRJ00410,G,"Grab sample.  Submerge and fill a water sampling vessel, or sample directly into the sample bottle provided by the an...",Lead,0.000705,mg/l,Final,Actual,,200.8,USEPA,Metals in Waters by ICP/MS,,,,STORET,0.000705,0.705,"STORM SEWER OUTFALL AT MISSISSIPPI R MI 853.2 IN MINNEAPOLIS, MN T29N/R24W/S24",Storm Sewer,44.978056,-93.245,27.0,53.0,1,POINT (-93.245 44.978056)
770,MNPCA,Minnesota Pollution Control Agency - Ambient Surface Water,MNPCA-SS00042.1801301135.000S,Sample-Routine,Water,2018-01-30,MNPCA-SS00042,PRJ00410,G,"Grab sample.  Submerge and fill a water sampling vessel, or sample directly into the sample bottle provided by the an...",Lead,0.00059,mg/l,Final,Estimated,,200.8,USEPA,Metals in Waters by ICP/MS,,,,STORET,0.00059,0.5900000000000001,"STORM SEWER OUTFALL AT MISSISSIPPI R MI 853 IN MINNEAPOLIS, MN T29N/R24W/S24",Storm Sewer,44.978056,-93.23944399999999,27.0,53.0,1,POINT (-93.23944399999999 44.978056)
771,TDECWR_WQX,TDEC Division of Water Resources,TDECWR_WQX-N1801118-06-07,Sample-Routine,Water,2018-01-30,TDECWR_WQX-TNW000003806,TNPR0080,TDECWRGRAB,WATER SAMPLE,Lead,1.98,ug/l,Final,Actual,,200.8,USEPA,Metals in Waters by ICP/MS,Lower Quantitation Limit,1,ug/l,STORET,1.98,1.98,LOOSAHATCHIE RIVER,River/Stream,35.25428,-90.02605,47.0,157.0,1,POINT (-90.02605 35.25428)
772,21COL001_WQX,Colorado Dept. of Public Health & Environment-WQCD,21COL001_WQX-20182021004-20180130_S-ROUTINE,Sample-Routine,Water,2018-01-30,21COL001_WQX-CO1RS,SWMN,STREAM_1_WQX,WQCD Stream Sampling Procedure,Lead,0.023,ug/l,Final,Actual,,200.8(W),USEPA,200.8 W  ~ Metals in Waters by ICP/MS,Lower Reporting Limit,0.05,ug/l,STORET,0.023,0.023,MIDDLE ST. VRAIN CREEK ABOVE SOUTH ST. VRAIN,River/Stream,40.167546,-105.39786699999999,8.0,13.0,1,POINT (-105.397867 40.167546)
774,USGS-OK,USGS Oklahoma Water Science Center,nwisok.01.01800118,Sample-Routine,Water,2018-01-30,USGS-07189000,,USGS,USGS,Lead,0.03,ug/l,Preliminary,Actual,,PLM78,USGS,"Metals, wu, 2% corr, ICP-MS",,,,NWIS,0.03,0.03,"Elk River near Tiff City, Mo",Stream,36.6314613,-94.5868886,29.0,119.0,1,POINT (-94.58688859999999 36.6314613)
775,CORIVWCH_WQX,The Rivers of Colorado Water Watch Network (RiverWatch),CORIVWCH_WQX-209.275M,Sample-Routine,Water,2018-01-30,CORIVWCH_WQX-209,1,SM 1060B,SM 1060B,Lead,3,ug/l,Validated,Actual,,200.15,USEPA,Metals in Water by Nebulization and ICP-AES,Lower Reporting Limit,3,ug/l,STORET,3.0,3.0,S Platte - Bridge St,River/Stream,39.98634385,-104.8322142,8.0,1.0,1,POINT (-104.8322142 39.98634385)
776,MNPCA,Minnesota Pollution Control Agency - Ambient Surface Water,MNPCA-SS00071.1801300900.000S,Sample-Routine,Water,2018-01-30,MNPCA-SS00071,PRJ00410,G,"Grab sample.  Submerge and fill a water sampling vessel, or sample directly into the sample bottle provided by the an...",Lead,0.00099,mg/l,Final,Estimated,,200.8,USEPA,Metals in Waters by ICP/MS,,,,STORET,0.00099,0.99,"MANHOLE NEAR BNSF RAILYARD AT 12 EAST RIVER RD IN FRIDLEY, MN",Storm Sewer,45.050084000000005,-93.273847,27.0,3.0,1,POINT (-93.273847 45.05008400000001)
777,TDECWR_WQX,TDEC Division of Water Resources,TDECWR_WQX-N1801118-07-04,Sample-Routine,Water,2018-01-30,TDECWR_WQX-TNW000000433,TNPR0080,TDECWRGRAB,WATER SAMPLE,Lead,1.64,ug/l,Final,Actual,,200.8,USEPA,Metals in Waters by ICP/MS,Lower Quantitation Limit,1,ug/l,STORET,1.64,1.64,BIG CREEK CANAL,River/Stream,35.280590000000004,-90.0066,47.0,157.0,1,POINT (-90.00660000000001 35.28059)
778,USGS-TX,USGS Texas Water Science Center,nwistx.01.01800955,Sample-Routine,Water,2018-01-30,USGS-285331096343501,,50,Point sample,Lead,0.129,ug/l,Accepted,Actual,,PLM43,USGS,"Metals, wf, ICP-MS",,,,NWIS,0.129,0.129,"Lk Texana Site AC nr Edna, TX","Lake, Reservoir, Impoundment",28.894708899999998,-96.5749749,48.0,239.0,1,POINT (-96.5749749 28.8947089)
779,BTMUA,Brick Utilities,BTMUA-NA_180130s,Sample-Routine,Water,2018-01-30,BTMUA-NA,Watershed,See QA Plan,See Project QA Plan,Lead,0.590,ug/l,Final,Actual,,See QA Plan,BTMUA,See QA Plan for this Project,,,,STORET,0.59,0.59,Route 88 West,River/Stream,40.081648,-74.151811,34.0,29.0,1,POINT (-74.151811 40.081648)
780,CEDEN,California State Water Resources Control Board,CEDEN--2145410289,Sample-Routine,Water,2018-01-30,CEDEN-SD_DW0333-A,MS4_DW_OFSM,Water_Grab,Water_Grab,Lead,7.8,ug/l,Final,Actual,,118,CEDEN,EPA 200.8,,,,STORET,7.8,7.8,San Diego_DW0333-A_San Dieguito,Other-Surface Water,33.0115,-117.145,6.0,73.0,1,POINT (-117.145 33.0115)
781,USGS-TX,USGS Texas Water Science Center,nwistx.01.01800958,Sample-Routine,Water,2018-01-30,USGS-294607095042700,,50,Point sample,Lead,0.64,ug/l,Accepted,Actual,,PLM78,USGS,"Metals, wu, 2% corr, ICP-MS",,,,NWIS,0.64,0.64,"Lynchburg Res nr Intake Structure nr Baytown, TX","Lake, Reservoir, Impoundment",29.7685667,-95.0742028,48.0,201.0,1,POINT (-95.07420279999999 29.7685667)
782,CORIVWCH_WQX,The Rivers of Colorado Water Watch Network (RiverWatch),CORIVWCH_WQX-549.011M,Sample-Routine,Water,2018-01-30,CORIVWCH_WQX-549,1,SM 1060B,SM 1060B,Lead,4,ug/l,Validated,Actual,,200.15,USEPA,Metals in Water by Nebulization and ICP-AES,Lower Reporting Limit,3,ug/l,STORET,4.0,4.0,Clear Cr - Abv I-70 & Hwy 58,River/Stream,39.7734,-105.1435,8.0,59.0,1,POINT (-105.1435 39.7734)
783,USGS-TX,USGS Texas Water Science Center,nwistx.01.01800957,Sample-Routine,Water,2018-01-30,USGS-294643095035200,,50,Point sample,Lead,0.76,ug/l,Accepted,Actual,,PLM78,USGS,"Metals, wu, 2% corr, ICP-MS",,,,NWIS,0.76,0.76,"Lynchburg Res nr CWA Canal Inflow nr Baytown, TX","Lake, Reservoir, Impoundment",29.778586100000002,-95.06442779999999,48.0,201.0,1,POINT (-95.06442779999999 29.7785861)
784,BTMUA,Brick Utilities,BTMUA-SA_180130s,Sample-Routine,Water,2018-01-30,BTMUA-SA,Watershed,See QA Plan,See Project QA Plan,Lead,0.960,ug/l,Final,Actual,,See QA Plan,BTMUA,See QA Plan for this Project,,,,STORET,0.96,0.96,Chambersbridge Road,River/Stream,40.078763,-74.156729,34.0,29.0,1,POINT (-74.156729 40.078763)
785,INSTOR_WQX,Indiana STORET,INSTOR_WQX-AB31398.CHEM,Sample-Routine,Other,2018-01-30,INSTOR_WQX-15054,2064,Unknown,Unknown,Lead,1.16,ug/l,Final,Actual,,200.8,INSTOR_WQX,200.8,Laboratory Reporting Level,1,ug/l,STORET,1.16,1.16,WBU-13-0001,River/Stream,39.1102027777,-87.6547611111,18.0,153.0,1,POINT (-87.6547611111 39.1102027777)
786,TDECWR_WQX,TDEC Division of Water Resources,TDECWR_WQX-N1801118-12-04,Sample-Routine,Water,2018-01-30,TDECWR_WQX-TNW000007919,TNPR0080,TDECWRGRAB,WATER SAMPLE,Lead,1.18,ug/l,Final,Actual,,200.8,USEPA,Metals in Waters by ICP/MS,Lower Quantitation Limit,1,ug/l,STORET,1.18,1.18,Clear Creek,River/Stream,35.26797,-89.70076,47.0,157.0,1,POINT (-89.70076 35.26797)
787,USGS-MO,USGS Missouri Water Science Center,nwismo.01.01800377,Sample-Routine,Water,2018-01-30,USGS-07188838,,10,Equal width increment (ewi),Lead,0.02,ug/l,Preliminary,Actual,,PLM78,USGS,"Metals, wu, 2% corr, ICP-MS",,,,NWIS,0.02,0.02,"Little Sugar Creek near Pineville, MO",Stream,36.583962,-94.3732693,29.0,119.0,1,POINT (-94.3732693 36.583962)
788,21COL001_WQX,Colorado Dept. of Public Health & Environment-WQCD,21COL001_WQX-20182019004-20180130_S-ROUTINE,Sample-Routine,Water,2018-01-30,21COL001_WQX-5581B,SWMN,STREAM_1_WQX,WQCD Stream Sampling Procedure,Lead,0.048,ug/l,Final,Actual,,200.8(W),USEPA,200.8 W  ~ Metals in Waters by ICP/MS,Lower Reporting Limit,0.05,ug/l,STORET,0.048,0.048,MIDDLE BOULDER CREEK 0.5 MI BELOW SPILLWAY,River/Stream,39.971291,-105.475821,8.0,13.0,1,POINT (-105.475821 39.971291)
789,TDECWR_WQX,TDEC Division of Water Resources,TDECWR_WQX-N1801118-05-04,Quality Control Sample-Field Replicate,Water,2018-01-30,TDECWR_WQX-TNW000006386,TNPR0051,TDECWRGRAB,WATER SAMPLE,Lead,1.24,ug/l,Final,Actual,,200.8,USEPA,Metals in Waters by ICP/MS,Lower Quantitation Limit,1,ug/l,STORET,1.24,1.24,TODD CREEK,River/Stream,35.23453,-90.0216,47.0,157.0,1,POINT (-90.02160000000001 35.23453)
790,USGS-CO,USGS Colorado Water Science Center,nwisco.01.01800685,Sample-Routine,Water,2018-01-30,USGS-401030105521101,,50,Point sample,Lead,0.009,ug/l,Preliminary,Estimated,,PLM67,USGS,"Metals, wf,ICP-MS(200.8; CO WSC)",Laboratory Reporting Level,0.03,ug/l,NWIS,0.009,0.009,"LAKE GRANBY NR PUMP STATION INTAKE NR GRAND LK, CO","Lake, Reservoir, Impoundment",40.175,-105.86972220000001,8.0,49.0,1,POINT (-105.8697222 40.175)
791,21COL001_WQX,Colorado Dept. of Public Health & Environment-WQCD,21COL001_WQX-20182020004-20180130_S-ROUTINE,Sample-Routine,Water,2018-01-30,21COL001_WQX-5598A,SWMN,STREAM_1_WQX,WQCD Stream Sampling Procedure,Lead,0.036,ug/l,Final,Actual,,200.8(W),USEPA,200.8 W  ~ Metals in Waters by ICP/MS,Lower Reporting Limit,0.05,ug/l,STORET,0.036,0.036,NORTH BOULDER CREEK AT HWY 72,River/Stream,39.987898,-105.496032,8.0,13.0,1,POINT (-105.496032 39.987898)
792,21MSWQ_WQX,MISSISSIPPI DEPARTMENT OF ENVIRONMENTAL QUALITY,21MSWQ_WQX-134512-625,Sample-Routine,Water,2018-01-30,21MSWQ_WQX-07287120,AMB18,Grab-DTSC,Grab-Direct to Sample Container,Lead,6.99,ug/l,Accepted,Actual,,200.8,USEPA,Metals in Waters by ICP/MS,,,,STORET,6.99,6.99,YAZOO RIVER,River/Stream,33.38638889,-90.30055556,28.0,83.0,1,POINT (-90.30055556000001 33.38638889)
793,USGS-MO,USGS Missouri Water Science Center,nwismo.01.01800379,Sample-Routine,Water,2018-01-30,USGS-07189100,,10,Equal width increment (ewi),Lead,0.12,ug/l,Preliminary,Actual,,PLM78,USGS,"Metals, wu, 2% corr, ICP-MS",,,,NWIS,0.12,0.12,"Buffalo Creek at Tiff City, MO",Stream,36.6709049,-94.6041119,29.0,119.0,1,POINT (-94.60411190000001 36.6709049)
794,USGS-CO,USGS Colorado Water Science Center,nwisco.01.01800621,Sample-Routine,Water,2018-01-30,USGS-09018500,,50,Point sample,Lead,0.007,ug/l,Preliminary,Estimated,,PLM67,USGS,"Metals, wf,ICP-MS(200.8; CO WSC)",Laboratory Reporting Level,0.03,ug/l,NWIS,0.007,0.007,"LAKE GRANBY NEAR GRANBY, CO.","Lake, Reservoir, Impoundment",40.149707899999996,-105.8614013,8.0,49.0,1,POINT (-105.8614013 40.1497079)
795,21MSWQ_WQX,MISSISSIPPI DEPARTMENT OF ENVIRONMENTAL QUALITY,21MSWQ_WQX-134450-625,Sample-Routine,Water,2018-01-30,21MSWQ_WQX-07288500,AMB18,Grab-DTSC,Grab-Direct to Sample Container,Lead,4.25,ug/l,Accepted,Actual,,200.8,USEPA,Metals in Waters by ICP/MS,,,,STORET,4.25,4.25,BIG SUNFLOWER RIVER,River/Stream,33.54722222,-90.54336111,28.0,133.0,1,POINT (-90.54336111000001 33.54722222)
796,21SC60WQ_WQX,South Carolina Department of Health and Environmental Control,21SC60WQ_WQX-AE06810,Sample-Routine,Water,2018-01-30,21SC60WQ_WQX-B-047,SWS-2018,Sample-Routine,Sample-Routine,Lead,0.0026,mg/l,Final,Actual,,200.7,USEPA,Metals in Water by ICP-AES,Lower Reporting Limit,0.002,mg/l,STORET,0.0026,2.6,BROAD RVR AT SC 34 14 MI NE OF NEWBERRY,River/Stream,34.3941234,-81.3965239,45.0,39.0,1,POINT (-81.39652390000001 34.3941234)
797,21COL001_WQX,Colorado Dept. of Public Health & Environment-WQCD,21COL001_WQX-20182016004-20180130_S-ROUTINE,Sample-Routine,Water,2018-01-30,21COL001_WQX-5588,SWMN,STREAM_1_WQX,WQCD Stream Sampling Procedure,Lead,0.019,ug/l,Final,Actual,,200.8(W),USEPA,200.8 W  ~ Metals in Waters by ICP/MS,Lower Reporting Limit,0.05,ug/l,STORET,0.019,0.019,S. BOULDER CREEK @ S. BOULDER RD,River/Stream,39.986067,-105.22083300000001,8.0,13.0,1,POINT (-105.220833 39.986067)
798,USGS-CA,USGS California Water Science Center,nwisca.01.01801533,Sample-Routine,Water,2018-01-30,USGS-345356116365301,,4040,Submersible pump,Lead,0.070,ug/l,Preliminary,Actual,,PLM43,USGS,"Metals, wf, ICP-MS",,,,NWIS,0.07,0.07,009N003E01K001S,Well,34.8989167,-116.61469440000002,6.0,71.0,1,POINT (-116.6146944 34.8989167)
799,21COL001_WQX,Colorado Dept. of Public Health & Environment-WQCD,21COL001_WQX-20182013004-20180130_S-ROUTINE,Sample-Routine,Water,2018-01-30,21COL001_WQX-5521,SWMN,STREAM_1_WQX,WQCD Stream Sampling Procedure,Lead,0.078,ug/l,Final,Actual,,200.8(W),USEPA,200.8 W  ~ Metals in Waters by ICP/MS,Lower Reporting Limit,0.05,ug/l,STORET,0.078,0.078,SOUTH ST. VRAIN CR. NR. MOUTH,River/Stream,40.217333,-105.2745,8.0,13.0,1,POINT (-105.2745 40.217333)
800,21COL001_WQX,Colorado Dept. of Public Health & Environment-WQCD,21COL001_WQX-20182015004-20180130_S-ROUTINE,Sample-Routine,Water,2018-01-30,21COL001_WQX-5551,SWMN,STREAM_1_WQX,WQCD Stream Sampling Procedure,Lead,0.029,ug/l,Final,Actual,,200.8(W),USEPA,200.8 W  ~ Metals in Waters by ICP/MS,Lower Reporting Limit,0.05,ug/l,STORET,0.029,0.029,NORTH ST. VRAIN CR. @ GAGE ABV. LYONS,River/Stream,40.2485,-105.29716699999999,8.0,13.0,1,POINT (-105.297167 40.2485)
